,Unnamed: 0,area,bathroom,direction,price,rooms,type,latitude,longitude
189,189, 160mt, 2,"Ensanche Naco, Santo Domingo De Guzmán",US$ 700, 2,Alquiler,18.48063285,-69.9245812964471
190,190, 124mt, 2,"Avenida George Washington, Santo Domingo De Guzmán","US$ 1,350", 2,Alquiler Amueblado,18.4644124,-69.894163
191,191, 153mt, 2,"Alma Rosa I, Santo Domingo Este","RD$ 3,850,000", 3,Venta,18.4918726,-69.8559554
192,192, 270mt, 3,"La Esperilla, Santo Domingo De Guzmán","US$ 379,500", 3,Venta,18.46817535,-69.9199088057318
193,193, 125mt, 2,"Miramar, Santo Domingo De Guzmán","RD$ 4,400,000", 3,Venta,18.4322007,-69.9606552
194,194, 275mt, 3,"El Vergel, Santo Domingo De Guzmán","US$ 1,500", 3,Alquiler Línea Blanca,18.4732303,-69.9167337
195,195, 120mt, 3,"Zona Colonial, Santo Domingo De Guzmán","US$ 150,000", 3,Venta,18.4714798,-69.8868222
196,196, 280mt, 3,"Piantini, Santo Domingo De Guzmán","US$ 3,000", 3,Alquiler,18.4772093,-69.8949479
197,197, 240mt, 3,"Ensanche Serralles, Santo Domingo De Guzmán","US$ 1,500", 3,Alquiler Amueblado,null,null
198,198,Unknown, 2,"Piantini, Santo Domingo De Guzmán","US$ 1,400", 2,Alquiler Amueblado,18.4772093,-69.8949479
199,199, 97mt, 2,"Playa Punta Popy, Las Terrenas","US$ 166,000", 2,Venta,19.32560965,-69.5296784494022
200,200, 83mt, 2,"Pantoja, Los Alcarrizos","RD$ 2,600,000", 3,Venta,18.5266242,-70.000069
201,201, 83mt, 2,"Pantoja, Los Alcarrizos","RD$ 2,600,000", 3,Venta,18.5266242,-70.000069
202,202, 130mt, 2,"Los Restauradores, Santo Domingo De Guzmán","US$ 120,000", 3,Venta,18.4560108,-69.964447
203,203, 152mt, 3,"Playa Punta Popy, Las Terrenas","US$ 250,000", 3,Venta,19.32560965,-69.5296784494022
204,204, 117mt, 2,"Reparto Los Tres Ojos, Santo Domingo Este","RD$ 30,000", 3,Alquiler,18.481873,-69.8373149
205,205, 222mt, 3,"Piantini, Santo Domingo De Guzmán","RD$ 7,000,000", 3,Venta,18.4772093,-69.8949479
206,206, 151mt, 2,"Ensanche Serralles, Santo Domingo De Guzmán","US$ 1,500", 3,Alquiler,null,null
207,207, 212mt, 3,"Bella Vista, Santo Domingo De Guzmán","US$ 220,000", 3,Venta,18.4522046,-69.9484723
